ic,rank_ic,hit_rate,r2,rmse,fold,train_end,test_start,test_end,n_train,n_test
0.07027,0.038722,0.6065,-261.157886,0.52773449,0,2020-01-03,2020-01-10,2020-02-10,9595,399
-0.111692,-0.150819,0.1955,-75.209521,0.6051003,1,2020-02-04,2020-02-11,2020-03-11,9994,399
0.057755,0.048209,0.7419,-34.117,0.48594465,2,2020-03-05,2020-03-12,2020-04-09,10393,399
0.126144,0.108149,0.609,-139.031524,0.49779512,3,2020-04-03,2020-04-13,2020-05-11,10792,399
-0.058229,-0.013996,0.614,-113.003707,0.52161499,4,2020-05-05,2020-05-12,2020-06-10,11191,399
-0.046339,-0.066969,0.6441,-178.767969,0.51633057,5,2020-06-04,2020-06-11,2020-07-10,11590,399
0.006595,-0.005411,0.6065,-201.54819,0.52964381,6,2020-07-06,2020-07-13,2020-08-10,11989,399
0.101413,0.14643,0.5038,-116.057807,0.50629523,7,2020-08-04,2020-08-11,2020-09-09,12388,399
0.163069,0.151654,0.5915,-218.598782,0.53062059,8,2020-09-02,2020-09-10,2020-10-08,12787,399
-0.114,-0.069524,0.4536,-107.170397,0.54570811,9,2020-10-02,2020-10-09,2020-11-06,13186,399
-0.190736,-0.140787,0.5764,-292.716779,0.53728207,10,2020-11-02,2020-11-09,2020-12-08,13585,399
-0.055152,0.015034,0.5388,-248.286142,0.53482424,11,2020-12-02,2020-12-09,2021-01-08,13984,399
0.103548,0.118544,0.5589,-134.962612,0.52657252,12,2021-01-04,2021-01-11,2021-02-09,14383,399
-0.031001,-0.006139,0.5163,-181.812685,0.53297587,13,2021-02-03,2021-02-10,2021-03-11,14782,399
0.062321,0.068214,0.6591,-243.543866,0.50866791,14,2021-03-05,2021-03-12,2021-04-12,15181,399
-0.038702,-0.053442,0.4862,-311.985261,0.51218195,15,2021-04-06,2021-04-13,2021-05-11,15580,399
-0.050421,0.009732,0.614,-418.717177,0.51588811,16,2021-05-05,2021-05-12,2021-06-10,15979,399
-0.06987,-0.050877,0.6391,-323.033686,0.50006316,17,2021-06-04,2021-06-11,2021-07-12,16378,399
0.011054,0.006478,0.6566,-332.838249,0.51601575,18,2021-07-06,2021-07-13,2021-08-10,16777,399
