ic,rank_ic,hit_rate,r2,rmse,fold,train_end,test_start,test_end,n_train,n_test
-0.021327,-0.01404,0.649,-243.650756,0.49534128,0,2015-01-06,2015-01-13,2015-02-11,61067,1701
0.030645,0.00788,0.5103,-317.453031,0.50244963,1,2015-02-05,2015-02-12,2015-03-13,62768,1701
-0.004287,-0.016576,0.5003,-420.072656,0.50158837,2,2015-03-09,2015-03-16,2015-04-14,64469,1701
0.020187,0.008943,0.5855,-384.142061,0.502833,3,2015-04-08,2015-04-15,2015-05-13,66170,1701
0.051663,0.064942,0.4691,-436.327626,0.5044475,4,2015-05-07,2015-05-14,2015-06-12,67871,1701
0.038524,0.006565,0.5414,-384.134321,0.50262378,5,2015-06-08,2015-06-15,2015-07-14,69572,1701
0.086828,0.070294,0.5162,-320.951409,0.50444867,6,2015-07-08,2015-07-15,2015-08-12,71273,1701
0.051796,0.102069,0.4691,-133.766425,0.51795093,7,2015-08-06,2015-08-13,2015-09-11,72974,1701
-0.036658,-0.072634,0.5761,-161.082776,0.50387891,8,2015-09-04,2015-09-14,2015-10-12,74675,1701
0.085364,0.086977,0.5456,-187.348805,0.50692545,9,2015-10-06,2015-10-13,2015-11-10,76376,1701
0.029128,0.034407,0.5062,-318.872389,0.51162826,10,2015-11-04,2015-11-11,2015-12-10,78077,1701
-0.010977,-0.015592,0.3616,-237.807121,0.5207101,11,2015-12-04,2015-12-11,2016-01-12,79778,1701
-0.018138,0.001303,0.5726,-114.206022,0.50405317,12,2016-01-06,2016-01-13,2016-02-11,81479,1701
-0.014905,0.006774,0.7549,-281.751815,0.48424547,13,2016-02-05,2016-02-12,2016-03-14,83180,1701
0.075152,0.084694,0.6543,-346.501371,0.4888574,14,2016-03-08,2016-03-15,2016-04-13,84881,1701
0.082157,0.068878,0.4333,-363.646284,0.50710172,15,2016-04-07,2016-04-14,2016-05-12,86582,1701
0.040333,0.036248,0.6161,-368.154611,0.50191093,16,2016-05-06,2016-05-13,2016-06-13,88283,1701
0.011135,0.031448,0.6925,-112.218156,0.50043828,17,2016-06-07,2016-06-14,2016-07-13,89984,1701
0.014337,0.008225,0.5091,-360.682342,0.50528381,18,2016-07-07,2016-07-14,2016-08-11,91685,1701
0.040698,0.048281,0.3992,-536.079539,0.51041182,19,2016-08-05,2016-08-12,2016-09-12,93386,1701
0.072426,0.089347,0.5032,-434.574725,0.50696981,20,2016-09-06,2016-09-13,2016-10-11,95087,1701
0.061668,0.035526,0.5367,-144.076561,0.50422002,21,2016-10-05,2016-10-12,2016-11-09,96788,1701
0.029344,0.009254,0.6308,-285.455382,0.50140125,22,2016-11-03,2016-11-10,2016-12-09,98489,1701
0.055099,0.046183,0.5403,-613.358794,0.50352592,23,2016-12-05,2016-12-12,2017-01-11,100190,1701
0.089013,0.097213,0.6502,-262.65931,0.49858726,24,2017-01-05,2017-01-12,2017-02-10,101891,1701
0.012968,0.065402,0.6243,-519.558554,0.50261059,25,2017-02-06,2017-02-13,2017-03-14,103592,1701
0.026586,-0.005274,0.4403,-716.52761,0.50807278,26,2017-03-08,2017-03-15,2017-04-12,105293,1701
0.122809,0.124136,0.5938,-381.324038,0.49803324,27,2017-04-06,2017-04-13,2017-05-12,106994,1701
0.032693,0.069569,0.6931,-431.614325,0.49731362,28,2017-05-08,2017-05-15,2017-06-13,108695,1701
0.000593,0.079184,0.5273,-340.120166,0.5099842,29,2017-06-07,2017-06-14,2017-07-13,110396,1701
0.080959,0.072364,0.4932,-364.781882,0.50850755,30,2017-07-07,2017-07-14,2017-08-11,112097,1701
-0.038669,-0.013153,0.6549,-389.711873,0.50142936,31,2017-08-07,2017-08-14,2017-09-12,113798,1701
-0.006828,0.050357,0.6496,-515.334266,0.49867446,32,2017-09-06,2017-09-13,2017-10-11,115499,1701
0.035854,0.087212,0.5626,-258.702507,0.50733323,33,2017-10-05,2017-10-12,2017-11-09,117200,1701
-0.076018,-0.081913,0.6543,-320.746712,0.50190031,34,2017-11-03,2017-11-10,2017-12-11,118901,1701
-0.091166,-0.119902,0.6649,-322.925696,0.49871839,35,2017-12-05,2017-12-12,2018-01-11,120602,1853
0.014536,-0.00165,0.4762,-117.240891,0.51138559,36,2018-01-05,2018-01-12,2018-02-12,122379,2100
-0.053128,-0.001265,0.5395,-288.817749,0.5043043,37,2018-02-06,2018-02-13,2018-03-14,124479,2100
-0.05838,-0.031286,0.5062,-198.136575,0.51330153,38,2018-03-08,2018-03-15,2018-04-13,126579,2100
0.097181,0.078605,0.5371,-201.658758,0.50574695,39,2018-04-09,2018-04-16,2018-05-14,128679,2100
0.08391,0.120977,0.5919,-332.093929,0.50043253,40,2018-05-08,2018-05-15,2018-06-13,130779,2100
-0.092436,-0.038787,0.5905,-309.799625,0.50560443,41,2018-06-07,2018-06-14,2018-07-13,132879,2100
-0.031375,-0.030047,0.5814,-244.920167,0.50645953,42,2018-07-09,2018-07-16,2018-08-13,134979,2100
0.002351,0.071034,0.6367,-387.353914,0.50688591,43,2018-08-07,2018-08-14,2018-09-12,137079,2100
0.065278,0.04596,0.4324,-208.653018,0.52048625,44,2018-09-06,2018-09-13,2018-10-11,139179,2100
0.024123,0.023682,0.5286,-111.588323,0.5102287,45,2018-10-05,2018-10-12,2018-11-09,141279,2100
-0.028964,-0.054024,0.3838,-144.094006,0.51827184,46,2018-11-05,2018-11-12,2018-12-12,143379,2100
0.025862,0.044826,0.6181,-107.18243,0.50145635,47,2018-12-06,2018-12-13,2019-01-14,145479,2100
0.078186,0.088403,0.7457,-221.989774,0.48982349,48,2019-01-08,2019-01-15,2019-02-13,147579,2100
-0.035784,-0.026679,0.6214,-309.688123,0.5016033,49,2019-02-07,2019-02-14,2019-03-15,149679,2100
-0.046335,0.011103,0.6343,-191.463397,0.50227525,50,2019-03-11,2019-03-18,2019-04-15,151779,2100
-0.060685,-0.032643,0.5048,-241.189587,0.51391551,51,2019-04-09,2019-04-16,2019-05-15,153879,2100
0.010917,0.022608,0.6129,-191.880085,0.49726974,52,2019-05-09,2019-05-16,2019-06-14,155979,2100
0.041939,0.049704,0.6014,-309.761748,0.49898283,53,2019-06-10,2019-06-17,2019-07-16,158079,2100
0.0792,0.050174,0.4571,-174.101384,0.51170037,54,2019-07-10,2019-07-17,2019-08-14,160179,2100
0.000228,0.001346,0.6086,-220.35093,0.49822111,55,2019-08-08,2019-08-15,2019-09-13,162279,2100
0.034639,0.019525,0.5048,-296.353734,0.50491162,56,2019-09-09,2019-09-16,2019-10-14,164379,2100
-0.068557,-0.083975,0.6419,-222.195705,0.49855841,57,2019-10-08,2019-10-15,2019-11-12,166479,2100
0.022692,-0.00696,0.6414,-397.041368,0.50162817,58,2019-11-06,2019-11-13,2019-12-12,168579,2100
0.077505,0.062278,0.6786,-528.020774,0.49842213,59,2019-12-06,2019-12-13,2020-01-14,170679,2100
0.079882,0.083194,0.5624,-152.891155,0.50426118,60,2020-01-08,2020-01-15,2020-02-13,172779,2100
-0.055296,-0.044597,0.1648,-49.810142,0.587752,61,2020-02-07,2020-02-14,2020-03-16,174879,2100
0.016532,0.013968,0.7105,-24.241163,0.46604782,62,2020-03-10,2020-03-17,2020-04-15,176979,2100
-0.026672,-0.020976,0.5705,-112.428361,0.49801185,63,2020-04-08,2020-04-16,2020-05-14,179079,2100
0.016623,0.035904,0.6467,-78.275226,0.49275139,64,2020-05-08,2020-05-15,2020-06-15,181179,2100
0.101129,0.059161,0.6062,-149.963711,0.49892603,65,2020-06-09,2020-06-16,2020-07-15,183279,2100
0.037477,0.081459,0.5957,-171.342733,0.50010909,66,2020-07-09,2020-07-16,2020-08-13,185379,2100
-0.082546,-0.014094,0.5076,-149.729012,0.50949195,67,2020-08-07,2020-08-14,2020-09-14,187479,2100
0.059657,0.019605,0.6014,-173.856903,0.49794203,68,2020-09-08,2020-09-15,2020-10-13,189579,2100
-0.110477,-0.093925,0.54,-71.369312,0.4978873,69,2020-10-07,2020-10-14,2020-11-11,191679,2100
-0.121494,-0.099821,0.5705,-206.724514,0.4992529,70,2020-11-05,2020-11-12,2020-12-11,193779,2100
-0.009725,-0.009048,0.5495,-189.14497,0.49883482,71,2020-12-07,2020-12-14,2021-01-13,195879,2100
0.02624,0.03516,0.5157,-150.810513,0.50669434,72,2021-01-07,2021-01-14,2021-02-12,197979,2100
-0.024023,-0.017088,0.5681,-150.728917,0.50335128,73,2021-02-08,2021-02-16,2021-03-16,200079,2100
0.146326,0.073201,0.7181,-270.775149,0.49294631,74,2021-03-10,2021-03-17,2021-04-15,202179,2100
-0.028649,-0.027585,0.5229,-258.293284,0.50439428,75,2021-04-09,2021-04-16,2021-05-14,204279,2100
-0.010842,-0.010087,0.5257,-288.037182,0.50131016,76,2021-05-10,2021-05-17,2021-06-15,206379,2100
-0.1834,-0.096868,0.6152,-368.356239,0.50462242,77,2021-06-09,2021-06-16,2021-07-15,208479,2100
-0.038288,-0.039662,0.6352,-282.582284,0.50325214,78,2021-07-09,2021-07-16,2021-08-13,210579,2100
0.109963,0.112321,0.4305,-374.184383,0.51326353,79,2021-08-09,2021-08-16,2021-09-14,212679,2100
-0.048085,-0.01452,0.5233,-217.831752,0.50547964,80,2021-09-08,2021-09-15,2021-10-13,214779,2100
-0.015953,0.058254,0.6462,-170.379165,0.49713527,81,2021-10-07,2021-10-14,2021-11-11,216879,2100
-0.026396,-0.031392,0.4876,-165.575242,0.5068945,82,2021-11-05,2021-11-12,2021-12-13,218979,2100
-0.033814,-0.089796,0.541,-148.267644,0.50667163,83,2021-12-07,2021-12-14,2022-01-12,221079,2100
-0.05324,-0.090633,0.3848,-113.558403,0.51750129,84,2022-01-06,2022-01-13,2022-02-11,223179,2100
0.024272,0.012592,0.5257,-94.824684,0.50548003,85,2022-02-07,2022-02-14,2022-03-15,225279,2100
0.136036,0.090923,0.5757,-159.698239,0.50322872,86,2022-03-09,2022-03-16,2022-04-13,227379,2100
0.028585,0.014271,0.3386,-102.061496,0.52855842,87,2022-04-07,2022-04-14,2022-05-13,229479,2100
0.061458,0.04496,0.4471,-78.404082,0.51982869,88,2022-05-09,2022-05-16,2022-06-14,231579,2100
-0.063141,-0.031558,0.6057,-130.244582,0.49495153,89,2022-06-08,2022-06-15,2022-07-15,233679,2100
-0.000215,-0.014075,0.7333,-170.424005,0.48765872,90,2022-07-11,2022-07-18,2022-08-15,235779,2100
0.049794,0.05084,0.2595,-172.25831,0.52638622,91,2022-08-09,2022-08-16,2022-09-14,237879,2100
-0.026363,-0.030708,0.4176,-111.806603,0.51693593,92,2022-09-08,2022-09-15,2022-10-13,239979,2100
-0.077536,-0.081422,0.7129,-69.45588,0.48324639,93,2022-10-07,2022-10-14,2022-11-11,242079,2100
-0.013497,0.006381,0.5514,-212.039661,0.50766939,94,2022-11-07,2022-11-14,2022-12-13,244179,2100
0.001409,-0.026423,0.5595,-168.891523,0.50280028,95,2022-12-07,2022-12-14,2023-01-13,246279,2100
-0.094468,-0.044346,0.5,-155.913919,0.5058727,96,2023-01-09,2023-01-17,2023-02-14,248379,2100
-0.008349,0.003065,0.4152,-203.32435,0.51753589,97,2023-02-08,2023-02-15,2023-03-16,250479,2100
0.051457,0.048674,0.6914,-297.805298,0.49729778,98,2023-03-10,2023-03-17,2023-04-17,252579,2100
0.006827,0.018278,0.4433,-236.303241,0.5096788,99,2023-04-11,2023-04-18,2023-05-16,254679,2100
0.029956,0.037357,0.6043,-160.803944,0.50040543,100,2023-05-10,2023-05-17,2023-06-15,256779,2100
-0.003942,-0.008399,0.6257,-276.650984,0.50107475,101,2023-06-09,2023-06-16,2023-07-18,258879,2100
-0.046132,-0.039838,0.3629,-238.984795,0.51462581,102,2023-07-12,2023-07-19,2023-08-16,260979,2100
-0.028058,0.011717,0.5224,-293.075893,0.50670451,103,2023-08-10,2023-08-17,2023-09-15,263079,2100
0.004019,0.023235,0.39,-231.597017,0.51556153,104,2023-09-11,2023-09-18,2023-10-16,265179,2100
0.075552,0.071381,0.6276,-128.308846,0.49809131,105,2023-10-10,2023-10-17,2023-11-14,267279,2100
-0.057989,-0.070392,0.6719,-240.980723,0.49421982,106,2023-11-08,2023-11-15,2023-12-14,269379,2100
0.04509,0.090915,0.5771,-253.548468,0.50505957,107,2023-12-08,2023-12-15,2024-01-17,271479,2100
-0.010911,0.009877,0.6276,-193.694084,0.50131504,108,2024-01-10,2024-01-18,2024-02-15,273579,2100
0.003813,0.027334,0.6224,-274.016684,0.50072957,109,2024-02-09,2024-02-16,2024-03-18,275679,2100
-0.064326,-0.062879,0.3943,-263.783252,0.51563433,110,2024-03-12,2024-03-19,2024-04-17,277779,2100
0.055849,0.029986,0.6438,-200.324565,0.49774323,111,2024-04-11,2024-04-18,2024-05-16,279879,2100
0.04759,0.087839,0.5138,-222.091089,0.50496176,112,2024-05-10,2024-05-17,2024-06-17,281979,2100
-0.080952,-0.036896,0.5529,-161.449263,0.50626682,113,2024-06-11,2024-06-18,2024-07-18,284079,2100
0.002511,0.040898,0.6329,-101.025113,0.50221825,114,2024-07-12,2024-07-19,2024-08-16,286179,2100
-0.070541,-0.02998,0.59,-239.544288,0.5027673,115,2024-08-12,2024-08-19,2024-09-17,288279,2100
0.065952,0.043414,0.5657,-237.984727,0.50330565,116,2024-09-11,2024-09-18,2024-10-16,290379,2100
0.016401,0.001097,0.4471,-132.147388,0.50778267,117,2024-10-10,2024-10-17,2024-11-14,292479,2100
0.023849,-0.014504,0.431,-159.010254,0.51258142,118,2024-11-08,2024-11-15,2024-12-16,294579,2100
0.026957,0.036817,0.5813,-220.896819,0.49919896,119,2024-12-10,2024-12-17,2025-01-17,296679,1777
-0.025455,-0.023001,0.5726,-139.53218,0.50586776,120,2025-01-13,2025-01-21,2025-02-19,298532,1701
-0.050197,-0.036347,0.4909,-159.368689,0.51370412,121,2025-02-12,2025-02-20,2025-03-20,300233,1701
0.058953,0.019468,0.4568,-64.814544,0.5189153,122,2025-03-14,2025-03-21,2025-04-21,301934,1701
-0.004285,0.051177,0.6149,-119.070145,0.4979267,123,2025-04-14,2025-04-22,2025-05-20,303635,1701
0.031579,-0.006141,0.6079,-224.380434,0.50507866,124,2025-05-14,2025-05-21,2025-06-20,305336,1701
-0.093996,-0.059733,0.6096,-212.206131,0.50440369,125,2025-06-13,2025-06-23,2025-07-22,307037,1701
0.208592,0.145949,0.5479,-165.570841,0.50664832,126,2025-07-16,2025-07-23,2025-08-20,308738,1701
0.115215,0.067649,0.4339,-178.964339,0.51215914,127,2025-08-14,2025-08-21,2025-09-19,310439,1701
0.028385,0.032706,0.532,-155.917078,0.5050698,128,2025-09-15,2025-09-22,2025-10-20,312140,1701
-0.051148,-0.021561,0.435,-152.888911,0.51584285,129,2025-10-14,2025-10-21,2025-11-18,313841,1701
0.025388,0.032895,0.6002,-182.425136,0.49984231,130,2025-11-12,2025-11-19,2025-12-18,315542,1701
0.005645,0.06211,0.6605,-877.858645,0.50139012,131,2025-12-12,2025-12-19,2025-12-22,317243,162
